Department Name,SubDept Code,SubDept Name,Program Name,Performance Measure Code,Performance Measure Name,Budget
Recreation and Parks,88LVL5,Recreation and Parks,Recreational Programming,88SPORTS,Number of Youth and Adult Sports Program Registrations,2016-17 Adopted Budget
Recreation and Parks,88LVL5,Recreation and Parks,Venice Beach,88VENICE,Number of Annual Visitors,2016-17 Adopted Budget
Recreation and Parks,88LVL5,Recreation and Parks,Public Safety,88SAFE,Percent of Visitors Feeling 'Safe' or 'Very Safe',2016-17 Adopted Budget
Recreation and Parks,88LVL5,Recreation and Parks,City Services,88SNLPARTICIPANTS,Number of Summer Night Lights Participants,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Sustainable Transportation,94BIKE,Number of Trips per Bike per Day,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Transit Planning and Land Use,94STUDIES,Percent of Traffic Studies Processed within 90 Business Days,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Transportation Infrastructure and Project Delivery,94GRANTS,Number of Projects Successful in Securing Grant Funding,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,"Parking Facilities, Meters, and Operations",94METERS,Percent of Time Parking Meters are Functioning Properly,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Parking Citation Processing Services,94TICKET,Two Year Parking Ticket Collection Rate,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Streets and Sign Management,94SIGN,Number of Sign Maintenance & Installation Projects Completed,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,District Offices,94SERVICE,Number of Service Requests Closed,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Traffic Signals and Systems,94SIGNAL,Percent of Signal Calls Responded to Within One Hour,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Public Transit Services,94TRANSIT,Percent of LADOT Transit On-Time Arrivals,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Major Project Coordination,94METRO,Percent of Metro Plans Reviewed within 20 Business Days,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Emergency Management and Special Events,94EVENTS,Number of Special Events Requiring Traffic Engineering,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Active Transportation,94BIKELANE,Number of Miles of Bike Lanes and Paths in the City,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Crossing Guard Services,94GUARDS,Number of Guards Assigned,2016-17 Adopted Budget
Animal Services,06LVL5,Animal Services,Shelter Operations and Animal Care,06LIVESAVE,Animal Live/Save Rate,2017-18 Adopted
City Administrative Officer,10LVL5,City Administrative Officer,Employee Relations Compensation and Benefits,10PAYGRADE,Average Length of Time to Review Pay Grade Advancements,2017-18 Adopted
City Administrative Officer,10LVL5,City Administrative Officer,Proprietary Analysis,10CONREVTIME,Average Length of Time to Complete Contract Review,2017-18 Adopted
Cultural Affairs,30LVL5,Cultural Affairs,Grants Program,30RESIDENTS,Number of Los Angeles Residents and Visitors Served,2017-18 Adopted
Fire,38LVL5,Fire,Fire Suppression,38FIRETRAVEL,Average Travel Time to Fire Incident,2017-18 Adopted
Fire,38LVL5,Fire,Fire Suppression,38FIRETURNOUT,Average Time to Leave Station after Notified - Fire Incident,2017-18 Adopted
Fire,38LVL5,Fire,Metropolitan Fire Communications,38DISPATCH,Call Processing Time,2017-18 Adopted
Fire,38LVL5,Fire,Hazardous Materials Enforcement,38REVENUE,Hazardous Materials Enforcement Revenue Collected,2017-18 Adopted
Fire,38LVL5,Fire,Emergency Medical Service,38EMSTRAVEL,Average Travel Time to EMS Incident,2017-18 Adopted
Fire,38LVL5,Fire,Emergency Medical Service,38EMSTURNOUT,Average Time to Leave Station after Notified - EMS Incident,2017-18 Adopted
Fire,38LVL5,Fire,"Procurement, Maintenance and Repair",38FLEET,Fleet Availability Rate,2017-18 Adopted
Finance,39LVL5,Finance,Investment,39EFFECTIVEYIELD,Effective Yield Relative to other California Municipalities,2017-18 Adopted
General Services,40LVL5,General Services,Construction Forces,40CONSTESTIMATE,Construction Projects Completed within Original Estimate,2017-18 Adopted
General Services,40LVL5,General Services,Real Estate Services,40ASSETMGMT,Asset Management System Implementation Tasks Completed,2017-18 Adopted
General Services,40LVL5,General Services,Parking Services,40PARKINGREV,Revenue from Department-Operated Parking Facilities,2017-18 Adopted
General Services,40LVL5,General Services,Emergency Management and Special Services,40DRILLS1,Number of Required Biannual Emergency Drills Completed,2017-18 Adopted
General Services,40LVL5,General Services,Fleet Services,40BOSVEHICLES,Vehicle Availability Rate for Bureau of Sanitation,2017-18 Adopted
General Services,40LVL5,General Services,Mail Services,40POSTAGE,Postage Savings Derived from the Mail Automation Program,2017-18 Adopted
Disability,65LVL5,Disability,AIDS Coordinator's Office,65SYRINGE,Number of Syringes Removed,2017-18 Adopted
Personnel,66LVL5,Personnel,Occupational Health,66CLINIC,Wait Time at Clinic for Exam,2017-18 Adopted
Personnel,66LVL5,Personnel,Custody Medical Care,66ARRESTEE,Time to Medically Clear Arrestees in City Jails,2017-18 Adopted
Police,70LVL5,Police,Custody of Persons and Property,70BOOKING,Average Processing Time for Non-Medical Bookings,2017-18 Adopted
Police,70LVL5,Police,Internal Integrity and Standards Enforcement,70INTERNAL,Internal Affairs Investigations Closed within Five Months,2017-18 Adopted
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Solid Resources,82RECYCLING,Citywide Landfill Diversion Rate,2017-18 Adopted
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,"System Operation, Maintenance, and Repair",84OUTAGE,Single Streetlight Outage Response Time,2017-18 Adopted
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,Street Lighting Assessment,84SLMAF,Street Lighting Maintenance Assessment Fund Revenue,2017-18 Adopted
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Improvement Engineering,86DESIGN,Value of Design-Build Projects Completed,2017-18 Adopted
Recreation and Parks,88LVL5,Recreation and Parks,Museums and Educational,88MUSEUM,Number of Annual Museum Visitors,2017-18 Adopted
Transportation,94LVL5,Transportation,Parking Citation Processing Services,94TICKET,Two Year Parking Ticket Collection Rate,2017-18 Adopted
Fire,38LVL5,Fire,Fire Suppression,38FIRETURNOUT,Average Time to Leave Station after Notified - Fire Incident,2015-16 Actuals
City Planning,68LVL5,City Planning,Community Planning,68COMMUNITYPLANS,Number of Community Plans Less Than Ten Years Old,2016-17 Adopted Budget
Personnel,66LVL5,Personnel,Liaison Services,66HIRELENGTH,Number of Days from Start of Hiring Process to Job Offer,2016-17 Adopted Budget
Recreation and Parks,88LVL5,Recreation and Parks,Building and Facilities Maintenance,88JOBORDER,Maintenance Job Orders Completed,2015-16 Actuals
General Services,40LVL5,General Services,Emergency Management and Special Services,40DRILLS1,Number of Required Biannual Emergency Drills Completed,2017-18 Adopted
Transportation,94LVL5,Transportation,Traffic Signals and Systems,94SIGNAL,Percent of Signal Calls Responded to Within One Hour,2014-15 Actuals
Controller,26LVL5,Controller,Financial Reporting of City and Grant Funds,26FINREPORTS,Percent of Financial Reports Submitted On Time,2014-15 Actuals
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Environmental Quality,82CLOSEOUT,Average Number of Days to Close Out a Service Request,2014-15 Actuals
General Services,40LVL5,General Services,Standards and Testing Services,40MATTEST,Number of Materials Tested for Pavement Preservation Program,2015-16 Actuals
Police,70LVL5,Police,Traffic Control,70HITRUN,Number of Traffic Hit and Run Collisions,2016-17 Adopted Budget
Personnel,66LVL5,Personnel,Custody Medical Care,66ARRESTEE,Time to Medically Clear Arrestees in City Jails,2016-17 Adopted Budget
General Services,40LVL5,General Services,Fuel and Environmental Compliance,40FUELSITE,Percent of City-Owned Fuel Sites Inspected Monthly,2013-14 Actuals
Personnel,66LVL5,Personnel,Equal Employment Opportunity,66EEOCOMPLAIN,Percent of Complainants Contacted Within 10 Days,2015-16 Adopted Budget
Bureau of Engineering,78LVL5,Bureau of Engineering,Mobility,78MOBILITY,Number of Completed Mobility Capital Projects,2013-14 Actuals
Personnel,66LVL5,Personnel,Employee Benefits,66VANPOOL,Percent Increase in Vanpool Participants,2015-16 Actuals
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,Street Lighting Assessment,84SLMAF,Street Lighting Maintenance Assessment Fund Revenue,2015-16 Adopted Budget
Finance,39LVL5,Finance,Tax and Permit,39AUDIT,Percent of Accounts Audited,2015-16 Actuals
Board of Public Works,74LVL5,Board of Public Works,Public Works Accounting,74PAYMENTS,Percentage of All Payments Processed within 30 Days,2013-14 Actuals
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,Property Management,33PERCENTWO,Percent of Work Orders Completed,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Transit Planning and Land Use,94STUDIES,Percent of Traffic Studies Processed within 90 Business Days,2013-14 Actuals
Zoo,87LVL5,Zoo,Admissions,87ONLINE,Percent of Ticket Sale Transactions Conducted Online,2014-15 Actuals
Finance,39LVL5,Finance,Revenue Management,39LIEN,Percent of Lien Cases Solved,2012-13 Actuals
Convention and Tourism Development,48LVL5,Convention and Tourism Development,Convention and Tourism Development,48LEISUREJOBS,Number of Leisure and Hospitality Jobs in Los Angeles County,2014-15 Actuals
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Improvement Engineering,86DESIGN,Value of Design-Build Projects Completed,2014-15 Actuals
Personnel,66LVL5,Personnel,Equal Employment Opportunity,66EEOCOMPLAIN,Percent of Complainants Contacted Within 10 Days,2014-15 Actuals
Police,70LVL5,Police,Custody of Persons and Property,70BOOKING,Average Processing Time for Non-Medical Bookings,2016-17 Adopted Budget
Cultural Affairs,30LVL5,Cultural Affairs,Community Arts,30ARTFACILITIES,Number of Individuals Served by Arts Facilities and Centers,2014-15 Actuals
General Services,40LVL5,General Services,Mail Services,40POSTAGE,Postage Savings Derived from the Mail Automation Program,2013-14 Actuals
Bureau of Engineering,78LVL5,Bureau of Engineering,Clean Water Infrastructure,78WATER,Number of Completed Clean Water Capital Projects,2016-17 Adopted Budget
Transportation,94LVL5,Transportation,Transit Planning and Land Use,94STUDIES,Percent of Traffic Studies Processed within 90 Business Days,2015-16 Actuals
Board of Public Works,74LVL5,Board of Public Works,Public Works Accounting,74PAYMENTS,Percentage of All Payments Processed within 30 Days,2015-16 Actuals
General Services,40LVL5,General Services,Parking Services,40PARKINGREV,Revenue from Department-Operated Parking Facilities,2017-18 Adopted
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Solid Resources,82RECYCLING,Citywide Recycling Diversion Rate,2015-16 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Code and Rent Compliance,43RENTAL,Rental Units Restored to Safe Living Conditions,2016-17 Adopted Budget
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,Property Management,33PERCENTWO,Percent of Work Orders Completed,2015-16 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Finance and Development,43AFFORDABLE,Affordable Housing Units Completed,2016-17 Adopted Budget
General Services,40LVL5,General Services,Fuel and Environmental Compliance,40FUELSITE,Percent of City-Owned Fuel Sites Inspected Monthly,2012-13 Actuals
Controller,26LVL5,Controller,Financial Reporting of City and Grant Funds,26FINREPORTS,Percent of Financial Reports Submitted On Time,2016-17 Adopted Budget
Police,70LVL5,Police,Specialized Investigation,70GANG,Number of Gang-Related Homicides,2013-14 Actuals
Controller,26LVL5,Controller,Support of the City's Financial Systems,26FINSYSSUPP,Number of Documents Generated in FMS,2013-14 Actuals
Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,Construction Inspection,76RETENTION,Number of Days for Final Retention Requests to be Processed,2014-15 Actuals
Transportation,94LVL5,Transportation,Emergency Management and Special Events,94EVENTS,Number of Special Events Requiring Traffic Engineering,2014-15 Actuals
City Administrative Officer,10LVL5,City Administrative Officer,Employee Relations Compensation and Benefits,10ACTIVEMOUS,Percent of Active Memorandum of Understandings,2014-15 Actuals
Building and Safety,08LVL5,Building and Safety,Development Services Case Management,08CASEMGMT,Percent of Case Management Projects Contacted in 5 Days,2013-14 Actuals
Building and Safety,08LVL5,Building and Safety,Residential and Commercial Code Enforcement,08COMPLAINT,Percent of Code Enforcement Complaints Closed in 60 Days,2013-14 Actuals
General Services,40LVL5,General Services,Supply Management,40POS,"Number of Days to Process Purchase Orders under $100,000",2014-15 Actuals
Personnel,66LVL5,Personnel,Employee Training and Development,66ONLINE,Number of Non-Mandated Courses Completed Online,2016-17 Adopted Budget
Information Technology Agency,32LVL5,Information Technology Agency,Systems Development and Support,32LATAX,Percent of LATAX System Availability in Tax Renewal Season,2014-15 Actuals
Building and Safety,08LVL5,Building and Safety,Structural Plan Checking,08PLANCHECK,Percent of Plan Check Jobs Completed in 15 Days,2013-14 Actuals
Transportation,94LVL5,Transportation,Active Transportation,94BIKELANE,Number of Miles of Bike Lanes and Paths in the City,2016-17 Adopted Budget
Finance,39LVL5,Finance,Investment,39INVESTVAR,Variance Between Investment Return and Industry Benchmarks,2018-19 Proposed
Police,70LVL5,Police,Field Forces,70CRIME,Total Number of Crime Incidents,2014-15 Actuals
Bureau of Engineering,78LVL5,Bureau of Engineering,Public Buildings and Open Spaces,78BUILDING,Number of Completed Building & Open Spaces Capital Projects,2013-14 Actuals
General Services,40LVL5,General Services,Standards and Testing Services,40MATTEST,Number of Materials Tested for Pavement Preservation Program,2015-16 Adopted Budget
Animal Services,06LVL5,Animal Services,Shelter Operations and Animal Care,06LIVESAVE,Animal Live/Save Rate,2012-13 Actuals
General Services,40LVL5,General Services,Custodial Services,40CLEAN,Percent of Municipal Facilities Cleaned Daily,2015-16 Adopted Budget
City Planning,68LVL5,City Planning,Development Services,68CUSTOMER,Annual Number of Customers Served,2016-17 Adopted Budget
Building and Safety,08LVL5,Building and Safety,Residential Inspection,08RESINSPECT,Percent of Residential Inspections Completed in 24 Hours,2016-17 Adopted Budget
Recreation and Parks,88LVL5,Recreation and Parks,Aquatics,88AQUATIC,Total Attendance at City Aquatic Facilities,2014-15 Actuals
Animal Services,06LVL5,Animal Services,Shelter Operations and Animal Care,06LIVESAVE,Animal Live/Save Rate,2014-15 Actuals
Cultural Affairs,30LVL5,Cultural Affairs,Grants Program,30RESIDENTS,Number of Los Angeles Residents and Visitors Served,2016-17 Adopted Budget
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,"System Operation, Maintenance, and Repair",84OUTAGE,Single Streetlight Outage Response Time,2017-18 Adopted
Police,70LVL5,Police,Internal Integrity and Standards Enforcement,70INTERNAL,Internal Affairs Investigations Closed within Five Months,2017-18 Adopted
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,Street Lighting Assessment,84SLMAF,Street Lighting Maintenance Assessment Fund Revenue,2012-13 Actuals
